Noise_dB,PSNR,Correlation (No Noise),Correlation (With Noise),Similarity (With Noise)
15.0,42.30875672181991,1.0,0.15272886852454723,0.6245984012545654
15.5,42.30875672181991,1.0,0.18744006439194075,0.6303944580467773
16.0,42.30875672181991,1.0,0.16505020148653793,0.6208450711067525
16.5,42.30875672181991,1.0,0.20604772096068194,0.6433866970370363
17.0,42.30875672181991,1.0,0.1736437912606988,0.6326043976429009
17.5,42.30875672181991,1.0,0.19924245379248653,0.643101708902361
18.0,42.30875672181991,1.0,0.235263244417305,0.6587563812226626
18.5,42.30875672181991,1.0,0.24715463675873867,0.6609303310379727
19.0,42.30875672181991,1.0,0.2501786936829115,0.6622557260868457
19.5,42.30875672181991,1.0,0.2676751574634157,0.6704842197076727
20.0,42.30875672181991,1.0,0.2813642526289054,0.6772809872781598
20.5,42.30875672181991,1.0,0.30390675564144204,0.684168003562381
21.0,42.30875672181991,1.0,0.328513523596054,0.6990794597805368
21.5,42.30875672181991,1.0,0.343443798415607,0.7014552863974249
22.0,42.30875672181991,1.0,0.36991406643117275,0.7124786938832749
22.5,42.30875672181991,1.0,0.3915455649811326,0.7226207058828951
23.0,42.30875672181991,1.0,0.4042257607645027,0.7264967851003246
23.5,42.30875672181991,1.0,0.4024567706548925,0.726872847145194
24.0,42.30875672181991,1.0,0.4354489372169826,0.7402132027356355
24.5,42.30875672181991,1.0,0.4637853090189816,0.7516227781699509
25.0,42.30875672181991,1.0,0.4654541399162208,0.75251472397088
25.5,42.30875672181991,1.0,0.5061805224748737,0.7717325072839106
26.0,42.30875672181991,1.0,0.5244722785305359,0.7789603420417771
26.5,42.30875672181991,1.0,0.5708978367243256,0.7984733801869547
27.0,42.30875672181991,1.0,0.5646292320168479,0.7957049300092116
27.5,42.30875672181991,1.0,0.5884932863616958,0.8071218390125292
28.0,42.30875672181991,1.0,0.6148467493402603,0.8180728004279333
28.5,42.30875672181991,1.0,0.6733762475643048,0.8447437378712385
29.0,42.30875672181991,1.0,0.6825776474662095,0.8482622118403786
29.5,42.30875672181991,1.0,0.7252715891820878,0.868278184119686
30.0,42.30875672181991,1.0,0.7370627174081917,0.8734032075000756
30.5,42.30875672181991,1.0,0.7578297247973484,0.8820899279359168
31.0,42.30875672181991,1.0,0.7867876537382459,0.8961045582089193
31.5,42.30875672181991,1.0,0.7988112168839749,0.9017992408733824
32.0,42.30875672181991,1.0,0.8407706910867084,0.9214564991403202
32.5,42.30875672181991,1.0,0.8694705476667636,0.9351139401728115
33.0,42.30875672181991,1.0,0.8734562166524498,0.9371943017683193
33.5,42.30875672181991,1.0,0.9003090534642256,0.9503016400894888
34.0,42.30875672181991,1.0,0.9111525764235295,0.9556007444887678
34.5,42.30875672181991,1.0,0.9157549617028864,0.9578434153612412
35.0,42.30875672181991,1.0,0.9394976765066635,0.9695673107478099
35.5,42.30875672181991,1.0,0.9617520639206036,0.9806491608704874
36.0,42.30875672181991,1.0,0.9536627536327462,0.976606237411226
36.5,42.30875672181991,1.0,0.9671119280195899,0.9833482162617866
37.0,42.30875672181991,1.0,0.9805865258163422,0.9901398024007649
37.5,42.30875672181991,1.0,0.9849466321389677,0.9923470055621065
38.0,42.30875672181991,1.0,0.9893127659038032,0.9945611463189473
38.5,42.30875672181991,1.0,0.9956068093056645,0.9977602949481457
39.0,42.30875672181991,1.0,0.9985356561119723,0.9992530809364939
39.5,42.30875672181991,1.0,0.9995116374494543,0.9997508409080548
40.0,42.30875672181991,1.0,1.0,1.0
40.5,42.30875672181991,1.0,1.0,1.0
41.0,42.30875672181991,1.0,1.0,1.0
41.5,42.30875672181991,1.0,1.0,1.0
42.0,42.30875672181991,1.0,0.9995116374494543,0.9997508409080548
42.5,42.30875672181991,1.0,1.0,1.0
43.0,42.30875672181991,1.0,1.0,1.0
43.5,42.30875672181991,1.0,1.0,1.0
44.0,42.30875672181991,1.0,1.0,1.0
44.5,42.30875672181991,1.0,1.0,1.0
45.0,42.30875672181991,1.0,1.0,1.0
45.5,42.30875672181991,1.0,1.0,1.0
46.0,42.30875672181991,1.0,1.0,1.0
46.5,42.30875672181991,1.0,1.0,1.0
47.0,42.30875672181991,1.0,1.0,1.0
47.5,42.30875672181991,1.0,1.0,1.0
48.0,42.30875672181991,1.0,1.0,1.0
48.5,42.30875672181991,1.0,1.0,1.0
49.0,42.30875672181991,1.0,1.0,1.0
49.5,42.30875672181991,1.0,1.0,1.0
50.0,42.30875672181991,1.0,1.0,1.0
50.5,42.30875672181991,1.0,1.0,1.0
51.0,42.30875672181991,1.0,1.0,1.0
51.5,42.30875672181991,1.0,1.0,1.0
52.0,42.30875672181991,1.0,1.0,1.0
52.5,42.30875672181991,1.0,1.0,1.0
53.0,42.30875672181991,1.0,1.0,1.0
53.5,42.30875672181991,1.0,1.0,1.0
54.0,42.30875672181991,1.0,1.0,1.0
54.5,42.30875672181991,1.0,1.0,1.0
